;pid;max.revlevel;dead.count;year.contributors;year.commits;month.contributors;month.commits;year.contributors.change;year.commits.change;comments
167;93;5;18;3;100;1;14;0;0,56;
313;232;6;18;3;85;0;0;-0,25;-0,12;
169;475;5;18;5;100;2;2;0,66;15,66;
315;475;6;18;5;100;2;2;0,66;15,66;
57;480;4;18;1;1;0;0;0;0;
170;480;5;18;1;1;0;0;0;0;
316;480;6;18;1;1;0;0;0;0;
317;584;6;18;35;2237;13;498;0,09;0,96;
171;1895;5;18;2;11;1;8;0;-0,5;
320;1895;6;18;2;11;1;8;0;-0,5;
322;3352;6;18;0;0;0;0;-1;-1;
173;3366;5;18;0;0;0;0;-1;-1;
60;3402;4;18;7;164;1;6;-0,12;-0,04;
174;3402;5;18;7;164;1;6;-0,12;-0,04;
61;3430;4;18;2;9;1;1;-0,33;0,12;
175;3430;5;18;2;9;1;1;-0,33;0,12;
176;3431;5;18;3;11;0;0;0,5;2,66;
325;3431;6;18;3;11;0;0;0,5;2,66;
326;3584;6;18;9;142;2;13;0,8;-0,45;
329;4021;6;18;2;3;0;0;-0,33;-0,88;
330;4059;6;18;2;131;2;29;-0,33;1,07;
67;4359;4;18;3;32;2;11;2;31;
185;4359;5;18;3;32;2;11;2;31;
335;4411;6;18;4;4;0;0;0,33;-0,84;
68;4445;4;18;10;88;3;10;-0,16;-0,56;
186;4445;5;18;10;88;3;10;-0,16;-0,56;
339;4733;6;18;2;290;1;1;NA;NA;The project stopped being analyzed
71;4867;4;18;3;9;0;0;2;2;
191;4936;5;18;11;962;6;64;-0,35;-0,55;
343;5002;6;18;1;51;0;0;-0,5;0,3;
192;5147;5;18;2;8;0;0;0;1,66;
344;5147;6;18;2;8;0;0;0;1,66;
345;5163;6;18;1;1;0;0;0;-0,75;
193;5561;5;18;1;14;0;0;-0,75;-0,85;
426;5732;7;18;1;1;0;0;0;-0,98;
348;5888;6;18;31;206;16;49;0,34;0,67;
75;5950;4;18;7;62;1;1;2,5;1,48;
194;5950;5;18;7;62;1;1;2,5;1,48;
76;5999;4;18;3;6;1;1;0,5;-0,75;
77;6559;4;18;1;1;0;0;-0,66;-0,9;
198;6559;5;18;1;1;0;0;-0,66;-0,9;
352;6559;6;18;1;1;0;0;-0,66;-0,9;
78;6869;4;18;2;6;0;0;NA;NA;The project stopped being analyzed
199;6869;5;18;2;6;0;0;NA;NA;The project stopped being analyzed
353;6869;6;18;2;6;0;0;NA;NA;The project stopped being analyzed
356;7329;6;18;2;185;1;1;0;1,76;
358;8258;6;18;3;16;0;0;0;-0,56;
83;8576;4;18;4;9;1;1;0,33;-0,52;
362;8765;6;18;3;11;0;0;0,5;-0,56;
213;9904;5;18;2;4;1;1;0;-0,55;
364;9904;6;18;2;4;1;1;0;-0,55;
214;10022;5;18;4;22;0;0;-0,2;-0,62;
91;10822;4;18;2;24;0;0;1;7;
219;10822;5;18;2;24;0;0;1;7;
372;11164;6;18;2;310;1;27;-0,33;-0,48;
92;11187;4;18;1;2;0;0;1;1;
222;11187;5;18;1;2;0;0;1;1;
374;11261;6;18;2;78;2;12;0;-0,39;
94;11615;4;18;NA;NA;0;0;NA;NA;Decreasing activity
224;11615;5;18;NA;NA;0;0;NA;NA;Decreasing activity
225;11992;5;18;3;35;0;0;0;0,59;
376;11992;6;18;3;35;0;0;0;0,59;
226;12678;5;18;0;0;0;0;-1;-1;
381;13137;6;18;1;2;0;0;-0,5;-0,85;
382;14564;6;18;2;4;0;0;-0,33;-0,5;
99;14984;4;18;2;3;0;0;-0,33;-0,98;
235;15403;5;18;2;8;1;3;-0,33;-0,86;
385;15707;6;18;1;2;0;0;0;-0,5;
103;16025;4;18;0;0;0;0;NA;NA;Seems dead.
390;16493;6;18;1;1;0;0;0;-0,83;
242;16527;5;18;1;3;0;0;-0,75;-0,5;
391;16527;6;18;1;3;0;0;-0,75;-0,5;
243;16584;5;18;193;8833;37;829;1,35;0,07;
110;19012;4;18;2;5;0;0;-0,33;-0,83;
111;19596;4;18;2;100;1;5;1;-0,63;
248;21585;5;18;2;2;0;0;NA;NA;
396;23964;6;18;0;0;0;0;-1;-1;
116;25037;4;18;1;4;0;0;NA;NA;"Seems dead; small spikes."
252;25528;5;18;0;0;0;0;-1;-1;
398;25676;6;18;1;1;0;0;-0,66;-0,99;
28;26779;3;18;0;0;0;0;-1;-1;
121;28161;4;18;6;68;1;42;1;0,41;
401;28161;6;18;6;68;1;42;1;0,41;
123;29402;4;18;5;24;1;1;1,5;-0,2;
124;29531;4;18;2;11;2;3;0;0,57;
261;29531;5;18;2;11;2;3;0;0,57;
403;29531;6;18;2;11;2;3;0;0,57;
127;31992;4;18;2;32;0;0;1;5,4;
130;35799;4;18;1;37;1;11;-0,5;0,15;
408;36952;6;18;0;0;0;0;0;0;Code locations removed.
133;46370;4;18;1;1;0;0;0;-0,5;
271;48277;5;18;0;0;0;0;-1;-1;
37;48544;3;18;1;3;0;0;0;-0,57;
136;60399;4;18;2;10;0;0;1;4;
137;71024;4;18;0;0;0;0;-1;-1;
275;71024;5;18;0;0;0;0;-1;-1;
138;82358;4;18;0;0;0;0;NA;NA;
277;82358;5;18;0;0;0;0;NA;NA;
39;83356;3;18;4;7;0;0;3;6;
140;84878;4;18;2;7;0;0;0;-0,41;
141;89461;4;18;3;197;1;5;-0,62;0,11;
41;132068;3;18;4;49;0;0;0,33;6;
143;132068;4;18;4;49;0;0;0,33;6;
42;172844;3;18;55;1581;11;274;-0,19;0,32;
418;172844;6;18;55;1581;11;274;-0,19;0,32;
286;264758;5;18;NA;NA;0;0;NA;NA;Seems dead
419;292974;6;18;6;458;1;7;0,5;0,5;
44;308442;3;18;1;1;0;0;0;-0,66;
146;308442;4;18;1;1;0;0;0;-0,66;
289;308924;5;18;1;5;1;5;0;0,66;
148;309336;4;18;1;6;0;0;0;0,5;
290;309336;5;18;1;6;0;0;0;0,5;
291;315771;5;18;2;2;0;0;-0,71;-0,98;
149;318015;4;18;0;0;0;0;NA;NA;
151;339052;4;18;5;245;3;45;0,25;3,8;
299;348235;5;18;11;52;2;6;0,83;0,52;
300;349024;5;18;4;13;0;0;1;1,16;
422;350148;6;18;1;6;1;1;-0,66;-0,25;
302;350740;5;18;3;45;1;10;-0,25;-0,26;
303;358104;5;18;1;1;1;1;-0,66;-0,97;
54;408169;3;18;0;0;0;0;-1;-1;
161;408169;4;18;0;0;0;0;-1;-1;
164;528850;4;18;2;3;0;0;-0,6;-0,92;
308;546760;5;18;0;0;0;0;-1;-1;
309;585079;5;18;2;49;2;9;-0,5;-0,67;
165;588202;4;18;1;3;0;0;-0,75;-0,96;
166;588935;4;18;5;67;0;0;0,25;-0,5;
331;4137;6;17;2;179;2;10;-0,5;0,04;
371;11082;6;17;1;10;1;1;-0,5;-0,74;
375;11615;6;17;NA;NA;0;0;NA;NA;
230;13939;5;17;53;903;5;108;-0,1;0,21;
266;35799;5;17;1;37;1;11;-0,5;0,15;
409;37487;6;17;0;0;0;0;-1;-1;
282;132068;5;17;4;49;0;0;0,33;6;
420;308924;6;17;1;5;1;5;0;0,66;
