;pid;max.revlevel;dead.count;year.contributors;year.commits;month.contributors;month.commits;year.contributors.change;year.commits.change;comments
406;34455;6;16;2;54;1;9;0;-0,27;
130;35799;4;18;1;37;1;11;-0,5;0,15;
408;36952;6;18;0;0;0;0;0;0;Code locations removed.
409;37487;6;17;0;0;0;0;-1;-1;
410;40548;6;12;5;465;3;34;1,5;0,5;
132;43572;4;16;2;11;0;0;-0,33;-0,81;
412;46139;6;16;3;23;0;0;0;-0,94;
133;46370;4;18;1;1;0;0;0;-0,5;
271;48277;5;18;0;0;0;0;-1;-1;
37;48544;3;18;1;3;0;0;0;-0,57;
273;50140;5;14;2;16;1;1;-0,5;-0,75;
136;60399;4;18;2;10;0;0;1;4;
275;71024;5;18;0;0;0;0;-1;-1;
413;81033;6;16;2;1128;2;246;-0,33;10,75;
277;82358;5;18;0;0;0;0;NA;NA;
39;83356;3;18;4;7;0;0;3;6;
140;84878;4;18;2;7;0;0;0;-0,41;
141;89461;4;18;3;197;1;5;-0,62;0,11;
280;116294;5;7;2;69;1;1;-0,33;-0,5;
415;132021;6;16;;;;;;;
143;132068;4;18;4;49;0;0;0,33;6;
416;139581;6;7;7;1562;6;142;1,33;0,16;
417;149338;6;10;32;2362;14;243;0,77;0,56;
418;172844;6;18;55;1581;11;274;-0,19;0,32;
285;260364;5;12;NA;NA;13;70;NA;NA;
286;264758;5;18;NA;NA;0;0;NA;NA;Seems dead
419;292974;6;18;6;458;1;7;0,5;0,5;
287;301544;5;1;4;481;3;45;0;0,57;
146;308442;4;18;1;1;0;0;0;-0,66;
289;308924;5;18;1;5;1;5;0;0,66;
290;309336;5;18;1;6;0;0;0;0,5;
291;315771;5;18;2;2;0;0;-0,71;-0,98;
149;318015;4;18;0;0;0;0;NA;NA;
150;327153;4;5;7;119;2;16;NA;NA;
151;339052;4;18;5;245;3;45;0,25;3,8;
293;339127;5;16;;;;;;;
294;342092;5;2;23;1755;4;15;-0,28;0,29;
295;342423;5;2;3;92;1;5;0,5;-0,36;
296;342504;5;7;6;498;4;51;1;0,44;
297;345897;5;12;26;462;7;22;0,18;0,05;
298;347925;5;4;2;110;1;1;-0,33;-0,69;
299;348235;5;18;11;52;2;6;0,83;0,52;
300;349024;5;18;4;13;0;0;1;1,16;
422;350148;6;18;1;6;1;1;-0,66;-0,25;
302;350740;5;18;3;45;1;10;-0,25;-0,26;
157;350866;4;14;0;3;0;0;-1;-0,62;
303;358104;5;18;1;1;1;1;-0,66;-0,97;
304;373943;5;12;1;1;0;0;0;-0,97;
53;377597;3;7;1;85;1;7;-0,75;-0,04;
305;381685;5;12;1;3;0;0;-0,5;-0,89;
161;408169;4;18;0;0;0;0;-1;-1;
423;408980;6;15;3;43;1;1;-0,25;-0,5;
307;428793;5;3;3;1360;3;224;0;0,55;
163;487094;4;8;NA;NA;NA;NA;NA;NA;Repository moved.
424;488862;6;1;110;2445;31;146;-0,07;-0,36;
164;528850;4;18;2;3;0;0;-0,6;-0,92;
308;546760;5;18;0;0;0;0;-1;-1;
309;585079;5;18;2;49;2;9;-0,5;-0,67;
165;588202;4;18;1;3;0;0;-0,75;-0,96;
166;588935;4;18;5;67;0;0;0,25;-0,5;
56;589091;3;17;2;5;0;0;-0,5;-0,66;
112;19893;4;16;1;12;1;3;0;3;
264;34435;5;9;11;1326;4;138;0,37;0,4;
